%Tid lon lat E[km] N[km] dep[km] strike dip Area[km2] idP1 idP2 idP3
367  142.07  39.29  -123.372 -265.693  40.627  186.988  21.273  495.252   99 86 98
368  140.75  35.69  -249.000 -662.662  44.749  187.287  19.127  362.175   195 32 194
369  140.75  36.05  -247.759 -623.030  47.075  192.074  19.545  278.544   193 199 131
37  140.52  36.36  -267.624 -587.538  57.316  203.447  20.181  160.077   206 192 207
370  140.20  35.15  -300.131 -720.410  61.868  181.856  21.266  377.950   134 203 209
371  141.10  39.90  -204.870 -195.977  88.011  190.874  28.997  1347.355  48 75 105
372  140.31  37.57  -281.791 -452.372  97.244  205.466  29.381  941.294   61 126 188
373  140.76  36.92  -243.698 -525.783  61.946  213.802  26.044  301.236   189 191 142
374  141.17  41.22  -195.421 -49.724  99.940  196.627  30.765  1683.154  62 37 57
375  145.55  42.44   169.051  85.008  19.786  246.541  16.851  1843.787  44 8 6
376  145.70  42.08   182.316  45.668  12.250  234.235  5.948   2603.481  44 11 8
377  141.19  37.62  -203.554 -449.592  60.005  196.845  25.022  364.505   182 127 183
378  142.72  38.87  -67.694 -313.376  22.402  192.457  13.101  777.225   85 41 96
38  142.06  37.13  -127.502 -505.201  23.169  208.229  13.089  1760.816  51 33 49
39  145.16  42.82   135.344  126.581  38.615  254.088  29.843  1111.886  54 6 5
4  140.81  36.17  -241.674 -609.196  46.406  199.862  18.997  363.636   200 131 199
40  140.92  37.97  -226.552 -409.380  76.885  193.734  28.192  325.677   157 120 87
41  139.91  35.73  -325.131 -655.635  76.863  186.862  28.728  851.973   139 58 64
42  143.44  40.01  -5.465  -186.828  15.557  190.934  8.917   1567.970  80 113 52
43  141.41  36.80  -186.674 -541.266  36.555  204.695  23.517  915.537   123 49 143
44  140.60  40.51  -245.829 -126.986  119.172  189.963  31.476  3647.416  62 15 48
45  142.52  38.76  -85.384 -325.096  26.169  186.449  14.975  450.248   174 85 96
46  140.23  35.57  -296.551 -674.784  61.810  184.922  23.855  423.996   139 137 133
47  144.84  41.47   111.533 -23.255  10.312  229.103  5.833   2955.474  66 14 12
48  141.34  38.06  -189.364 -400.502  59.446  192.546  25.712  399.208   88 154 187
49  140.37  38.67  -272.591 -331.017  110.917  192.028  30.015  994.642   178 60 47
5  143.11  40.13  -32.960 -173.493  21.452  192.655  13.947  1350.911  118 80 52
